Region_id,Region,Date,total_homes_sold,total_homes_sold_yoy,Cases
50,El Paso,3/5/20,191,-0.030456853,0
50,El Paso,3/6/20,153,0.033783784,0
50,El Paso,3/7/20,148,0,0
50,El Paso,3/8/20,146,0,0
50,El Paso,3/9/20,133,-0.082758621,0
50,El Paso,3/10/20,126,-0.131034483,0
50,El Paso,3/11/20,139,-0.021126761,0
50,El Paso,3/12/20,142,0.092307692,0
50,El Paso,3/13/20,164,0.312,0
50,El Paso,3/14/20,165,0.213235294,0
50,El Paso,3/15/20,166,0.057324841,1
50,El Paso,3/16/20,173,0.123376623,1
50,El Paso,3/17/20,182,0.166666667,3
50,El Paso,3/18/20,174,0.06097561,3
50,El Paso,3/19/20,170,-0.022988506,3
50,El Paso,3/20/20,142,-0.174418605,3
50,El Paso,3/21/20,140,-0.146341463,6
50,El Paso,3/22/20,139,0.007246377,6
50,El Paso,3/23/20,136,-0.035460993,6
50,El Paso,3/24/20,134,-0.035971223,7
50,El Paso,3/25/20,134,-0.062937063,11
50,El Paso,3/26/20,135,-0.028776978,21
50,El Paso,3/27/20,151,-0.067901235,21
50,El Paso,3/28/20,156,-0.138121547,31
50,El Paso,3/29/20,157,-0.283105023,35
50,El Paso,3/30/20,152,-0.309090909,40
50,El Paso,3/31/20,175,-0.215246637,46
50,El Paso,4/1/20,192,-0.123287671,50
50,El Paso,4/2/20,195,-0.133333333,68
50,El Paso,4/3/20,174,-0.186915888,78
50,El Paso,4/4/20,170,-0.137055838,96
